id,immagine,data_avvistamento,image_url,latitude,longitude,nome_classe,nome_scientifico,nome_comune,nome_famiglia,luogo,nome_breve
248609437,248609437.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444247846/medium.jpeg,45.44405337,12.08332944,Piante,Salix babylonica,Salice piangente,Salicaceae,SCOLO PIONCA,pionca
248607863,248607863.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444244895/medium.jpeg,45.44401258,12.08732919,Piante,Ulmus minor,Olmo campestre,Ulmaceae,SCOLO PIONCA,pionca
86336774,86336774.jpg,3-Jul-2021,https://static.inaturalist.org/photos/142213499/medium.jpeg,45.44433436,12.08335449,Piante,Viburnum lantana,Viburno lantana,Viburnaceae,SCOLO PIONCA,pionca
86336775,86336775.jpg,3-Jul-2021,https://static.inaturalist.org/photos/142213268/medium.jpeg,45.44433436,12.08335449,Piante,Viburnum opulus,Palla di neve,Viburnaceae,SCOLO PIONCA,pionca
248604880,248604880.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444239714/medium.jpeg,45.44736886,12.08866993,Piante,Viburnum opulus,Palla di neve,Viburnaceae,SCOLO PIONCA,pionca
44473202,44473202.jpg,19-Nov-2003,https://inaturalist-open-data.s3.amazonaws.com/photos/70512791/medium.jpg,45.5247309,12.2757096,Piante,Acer campestre,Acero campestre,Sapindaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
79042567,79042567.jpg,15-May-2021,https://static.inaturalist.org/photos/129420795/medium.jpeg,45.52060257,12.28767159,Piante,Acer campestre,Acero campestre,Sapindaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
69919957,69919957.jpg,21-Feb-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/260881969/medium.jpeg,45.519487,12.293342,Uccelli,Aegithalos caudatus,Codibugnolo,Aegithalidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
69919960,69919960.jpg,21-Feb-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/113568364/medium.jpeg,45.52748,12.289144,Uccelli,Aegithalos caudatus,Codibugnolo,Aegithalidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
70410397,70410397.jpg,1-Mar-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/260882600/medium.jpeg,45.52452841,12.28879379,Uccelli,Aegithalos caudatus,Codibugnolo,Aegithalidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
107768552,107768552.jpg,2-Mar-2022,https://inaturalist-open-data.s3.amazonaws.com/photos/181319615/medium.jpeg,45.520963,12.279319,Uccelli,Aegithalos caudatus,Codibugnolo,Aegithalidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
107888453,107888453.jpg,4-Mar-2022,https://inaturalist-open-data.s3.amazonaws.com/photos/181536518/medium.jpeg,45.520517,12.287643,Uccelli,Aegithalos caudatus,Codibugnolo,Aegithalidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
79050602,79050602.jpg,15-May-2021,https://static.inaturalist.org/photos/129430559/medium.jpg,45.52060257,12.28767159,Insetti,Agapanthia cardui,Cerambice del cardo,Cerambycidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
29306743,29306743.jpg,22-Jul-2019,https://static.inaturalist.org/photos/45732823/medium.jpeg,45.52122827,12.28749186,Piante,Agrimonia eupatoria,Agrimonia,Rosaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
63327994,63327994.jpg,17-Oct-2020,https://static.inaturalist.org/photos/101612082/medium.jpg,45.52112273,12.29081605,Piante,Agrimonia eupatoria,Agrimonia,Rosaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
80118189,80118189.jpg,22-May-2021,https://static.inaturalist.org/photos/131285328/medium.jpeg,45.52213691,12.27780362,Piante,Agrimonia eupatoria,Agrimonia,Rosaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
84098967,84098967.jpg,19-Jun-2021,https://static.inaturalist.org/photos/138185392/medium.jpeg,45.52262621,12.28424971,Piante,Agrimonia eupatoria,Agrimonia,Rosaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
21833973,21833973.jpg,31-Mar-2019,https://static.inaturalist.org/photos/33823157/medium.jpg,45.52171333,12.277525,Piante,Ajuga reptans,Bugola,Lamiaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
72197255,72197255.jpg,25-Mar-2021,https://static.inaturalist.org/photos/117666908/medium.jpeg,45.52649445,12.29305744,Piante,Ajuga reptans,Bugola,Lamiaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
79053936,79053936.jpg,15-May-2021,https://static.inaturalist.org/photos/129438075/medium.jpg,45.52060257,12.28767159,Piante,Ajuga reptans,Bugola,Lamiaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
70410390,70410390.jpg,1-Mar-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/114457506/medium.jpeg,45.52861659,12.29385774,Uccelli,Alcedo atthis,Martin pescatore,Alcedinidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
84094992,84094992.jpg,19-Jun-2021,https://static.inaturalist.org/photos/138177686/medium.jpg,45.52262621,12.28424971,Insetti,Alydus calcaratus,Alydus calcaratus,Alydidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
164835500,164835500.jpg,31-May-2023,https://static.inaturalist.org/photos/285254516/medium.jpg,45.525895,12.28222167,Piante,Anacamptis pyramidalis,Orchidea piramidale,Orchidaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
70898732,70898732.jpg,9-Mar-2021,https://static.inaturalist.org/photos/115342001/medium.jpg,45.52707602,12.27811267,Uccelli,Anas platyrhynchos,Germano reale,Anatidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
72482957,72482957.jpg,30-Mar-2021,https://static.inaturalist.org/photos/118177725/medium.jpg,45.52059651,12.27784388,Uccelli,Anas platyrhynchos,Germano reale,Anatidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
70898856,70898856.jpg,9-Mar-2021,https://static.inaturalist.org/photos/115343333/medium.jpg,45.52707602,12.27811267,Piante,Anemonoides nemorosa,Anemone dei boschi,Ranunculaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
79057502,79057502.jpg,15-May-2021,https://static.inaturalist.org/photos/129442994/medium.jpg,45.52060257,12.28767159,Insetti,Anorthoa munda,Mnestra gemella,Noctuidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
78873395,78873395.jpg,1-May-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/129127306/medium.jpeg,45.52506912,12.28573831,Insetti,Apis mellifera,Ape europea,Apidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
155532712,155532712.jpg,6-Mar-2023,https://static.inaturalist.org/photos/268859057/medium.jpeg,45.5228366,12.28651356,Insetti,Aquarius najas,Gerride d'acqua,Gerridae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
62938726,62938726.jpg,17-Oct-2020,https://static.inaturalist.org/photos/100928737/medium.jpg,45.52112273,12.29081605,Aracnidi,Araneus angulatus,Ragno Dagli Angoli,Araneidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
19227934,19227934.jpg,24-Dec-2018,https://static.inaturalist.org/photos/29538406/medium.jpg,45.52365,12.28188,Uccelli,Ardea cinerea,Airone cenerino,Ardeidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
20383476,20383476.jpg,16-Feb-2019,https://static.inaturalist.org/photos/31476380/medium.jpg,45.51886167,12.28540833,Uccelli,Ardea cinerea,Airone cenerino,Ardeidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
66529819,66529819.jpg,13-Dec-2020,https://inaturalist-open-data.s3.amazonaws.com/photos/107269609/medium.jpeg,45.52045282,12.2907151,Uccelli,Ardea cinerea,Airone cenerino,Ardeidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
69919988,69919988.jpg,21-Feb-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/113568592/medium.jpeg,45.518588,12.287585,Uccelli,Ardea cinerea,Airone cenerino,Ardeidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
86777834,86777834.jpg,11-Jul-2021,https://static.inaturalist.org/photos/143010781/medium.jpg,45.52570547,12.28463844,Uccelli,Ardeola ralloides,Sgarza ciuffetto,Ardeidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
162165420,162165420.jpg,17-May-2023,https://static.inaturalist.org/photos/280374967/medium.jpg,45.52312833,12.28470333,Uccelli,Ardeola ralloides,Sgarza ciuffetto,Ardeidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
12653305,12653305.jpg,10-May-2018,https://static.inaturalist.org/photos/18307103/medium.jpg,45.52091161,12.28441704,Insetti,Armadillidium vulgare,Porcellino di terra,Armadillidiidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
63424989,63424989.jpg,22-Oct-2020,https://static.inaturalist.org/photos/101781755/medium.jpg,45.52205312,12.27680693,Insetti,Armadillidium vulgare,Porcellino di terra,Armadillidiidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
29306829,29306829.jpg,22-Jul-2019,https://static.inaturalist.org/photos/45733000/medium.jpeg,45.52199102,12.28416793,Piante,Arum italicum,Gigaro chiaro,Araceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
64552400,64552400.jpg,29-Oct-2020,https://static.inaturalist.org/photos/103794492/medium.jpg,45.5257842,12.28533287,Piante,Arum italicum,Gigaro chiaro,Araceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
62938710,62938710.jpg,17-Oct-2020,https://static.inaturalist.org/photos/100925183/medium.jpg,45.52112273,12.29081605,Piante,Blackstonia perfoliata,Blackstonia Perfogliata,Gentianaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
72479500,72479500.jpg,30-Mar-2021,https://static.inaturalist.org/photos/118174631/medium.jpg,45.52059651,12.27784388,Insetti,Bombus pascuorum,Bombo dei Pascoli,Apidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
78487571,78487571.jpg,10-May-2021,https://static.inaturalist.org/photos/128453701/medium.jpeg,45.52592081,12.28818158,Piante,Calepina irregularis,Miagro Rostellato,Brassicaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
78875692,78875692.jpg,1-May-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/129131743/medium.jpeg,45.52487148,12.27738088,Insetti,Calopteryx splendens,Splendente comune,Calopterygidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
78747504,78747504.jpg,20-Apr-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/128909849/medium.jpeg,45.52535243,12.28314777,Insetti,Camponotus vagus,Camponotus vagus,Formicidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
78879724,78879724.jpg,1-May-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/129138756/medium.jpeg,45.5233895,12.27953676,Insetti,Camponotus vagus,Camponotus vagus,Formicidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
